symbol,name,ticker,source_index
JINDALSTEL,Jindal Steel Ltd.,JINDALSTEL.NS,NIFTY 500
JIOFIN,Jio Financial Services Ltd.,JIOFIN.NS,NIFTY 500
JKCEMENT,J.K. Cement Ltd.,JKCEMENT.NS,NIFTY 500
JKTYRE,JK Tyre & Industries Ltd.,JKTYRE.NS,NIFTY 500
JMFINANCIL,JM Financial Ltd.,JMFINANCIL.NS,NIFTY 500
JPPOWER,Jaiprakash Power Ventures Ltd.,JPPOWER.NS,NIFTY 500
JSL,Jindal Stainless Ltd.,JSL.NS,NIFTY 500
JSWCEMENT,JSW Cement Ltd.,JSWCEMENT.NS,NIFTY 500
JSWDULUX,JSW Dulux Ltd.,JSWDULUX.NS,NIFTY 500
JSWENERGY,JSW Energy Ltd.,JSWENERGY.NS,NIFTY 500
JSWINFRA,JSW Infrastructure Ltd.,JSWINFRA.NS,NIFTY 500
JSWSTEEL,JSW Steel Ltd.,JSWSTEEL.NS,NIFTY 500
JUBLFOOD,Jubilant Foodworks Ltd.,JUBLFOOD.NS,NIFTY 500
JUBLINGREA,Jubilant Ingrevia Ltd.,JUBLINGREA.NS,NIFTY 500
JUBLPHARMA,Jubilant Pharmova Ltd.,JUBLPHARMA.NS,NIFTY 500
JWL,Jupiter Wagons Ltd.,JWL.NS,NIFTY 500
JYOTICNC,Jyoti CNC Automation Ltd.,JYOTICNC.NS,NIFTY 500
KAJARIACER,Kajaria Ceramics Ltd.,KAJARIACER.NS,NIFTY 500
KALYANKJIL,Kalyan Jewellers India Ltd.,KALYANKJIL.NS,NIFTY 500
KARURVYSYA,Karur Vysya Bank Ltd.,KARURVYSYA.NS,NIFTY 500
KAYNES,Kaynes Technology India Ltd.,KAYNES.NS,NIFTY 500
KEC,Kec International Ltd.,KEC.NS,NIFTY 500
KEI,KEI Industries Ltd.,KEI.NS,NIFTY 500
KFINTECH,Kfin Technologies Ltd.,KFINTECH.NS,NIFTY 500
KIMS,Krishna Institute of Medical Sciences Ltd.,KIMS.NS,NIFTY 500
KIRLOSENG,Kirloskar Oil Eng Ltd.,KIRLOSENG.NS,NIFTY 500
KOTAKBANK,Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,NIFTY 500
KPIL,Kalpataru Projects International Ltd.,KPIL.NS,NIFTY 500
KPITTECH,KPIT Technologies Ltd.,KPITTECH.NS,NIFTY 500
KPRMILL,K.P.R. Mill Ltd.,KPRMILL.NS,NIFTY 500
LALPATHLAB,Dr. Lal Path Labs Ltd.,LALPATHLAB.NS,NIFTY 500
LATENTVIEW,Latent View Analytics Ltd.,LATENTVIEW.NS,NIFTY 500
LAURUSLABS,Laurus Labs Ltd.,LAURUSLABS.NS,NIFTY 500
LEMONTREE,Lemon Tree Hotels Ltd.,LEMONTREE.NS,NIFTY 500
LENSKART,Lenskart Solutions Ltd.,LENSKART.NS,NIFTY 500
LGEINDIA,LG Electronics India Ltd.,LGEINDIA.NS,NIFTY 500
LICHSGFIN,LIC Housing Finance Ltd.,LICHSGFIN.NS,NIFTY 500
LICI,Life Insurance Corporation of India,LICI.NS,NIFTY 500
LINDEINDIA,Linde India Ltd.,LINDEINDIA.NS,NIFTY 500
LLOYDSME,Lloyds Metals And Energy Ltd.,LLOYDSME.NS,NIFTY 500
LODHA,Lodha Developers Ltd.,LODHA.NS,NIFTY 500
LT,Larsen & Toubro Ltd.,LT.NS,NIFTY 500
LTF,L&T Finance Ltd.,LTF.NS,NIFTY 500
LTFOODS,LT Foods Ltd.,LTFOODS.NS,NIFTY 500
LTM,LTM Ltd.,LTM.NS,NIFTY 500
LTTS,L&T Technology Services Ltd.,LTTS.NS,NIFTY 500
LUPIN,Lupin Ltd.,LUPIN.NS,NIFTY 500
M&M,Mahindra & Mahindra Ltd.,M&M.NS,NIFTY 500
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS,NIFTY 500
MAHABANK,Bank of Maharashtra,MAHABANK.NS,NIFTY 500
MANAPPURAM,Manappuram Finance Ltd.,MANAPPURAM.NS,NIFTY 500
MANKIND,Mankind Pharma Ltd.,MANKIND.NS,NIFTY 500
MAPMYINDIA,C.E. Info Systems Ltd.,MAPMYINDIA.NS,NIFTY 500
MARICO,Marico Ltd.,MARICO.NS,NIFTY 500
MARUTI,Maruti Suzuki India Ltd.,MARUTI.NS,NIFTY 500
MAXHEALTH,Max Healthcare Institute Ltd.,MAXHEALTH.NS,NIFTY 500
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS,NIFTY 500
MCX,Multi Commodity Exchange of India Ltd.,MCX.NS,NIFTY 500
MEDANTA,Global Health Ltd.,MEDANTA.NS,NIFTY 500
MEESHO,Meesho Ltd.,MEESHO.NS,NIFTY 500
MFSL,Max Financial Services Ltd.,MFSL.NS,NIFTY 500
MGL,Mahanagar Gas Ltd.,MGL.NS,NIFTY 500
MINDACORP,Minda Corporation Ltd.,MINDACORP.NS,NIFTY 500
MMTC,MMTC Ltd.,MMTC.NS,NIFTY 500
MOTHERSON,Samvardhana Motherson International Ltd.,MOTHERSON.NS,NIFTY 500
MOTILALOFS,Motilal Oswal Financial Services Ltd.,MOTILALOFS.NS,NIFTY 500
MPHASIS,MphasiS Ltd.,MPHASIS.NS,NIFTY 500
MRF,MRF Ltd.,MRF.NS,NIFTY 500
MRPL,Mangalore Refinery & Petrochemicals Ltd.,MRPL.NS,NIFTY 500
MSUMI,Motherson Sumi Wiring India Ltd.,MSUMI.NS,NIFTY 500
MUTHOOTFIN,Muthoot Finance Ltd.,MUTHOOTFIN.NS,NIFTY 500
NAM-INDIA,Nippon Life India Asset Management Ltd.,NAM-INDIA.NS,NIFTY 500
NATCOPHARM,NATCO Pharma Ltd.,NATCOPHARM.NS,NIFTY 500
NATIONALUM,National Aluminium Co. Ltd.,NATIONALUM.NS,NIFTY 500
NAUKRI,Info Edge (India) Ltd.,NAUKRI.NS,NIFTY 500
NAVA,Nava Ltd.,NAVA.NS,NIFTY 500
NAVINFLUOR,Navin Fluorine International Ltd.,NAVINFLUOR.NS,NIFTY 500
NBCC,NBCC (India) Ltd.,NBCC.NS,NIFTY 500
