symbol,name,ticker,source_index
OIL,Oil India Ltd.,OIL.NS,NIFTY 500
OLAELEC,Ola Electric Mobility Ltd.,OLAELEC.NS,NIFTY 500
OLECTRA,Olectra Greentech Ltd.,OLECTRA.NS,NIFTY 500
ONESOURCE,Onesource Specialty Pharma Ltd.,ONESOURCE.NS,NIFTY 500
ONGC,Oil & Natural Gas Corporation Ltd.,ONGC.NS,NIFTY 500
PAGEIND,Page Industries Ltd.,PAGEIND.NS,NIFTY 500
PARADEEP,Paradeep Phosphates Ltd.,PARADEEP.NS,NIFTY 500
PATANJALI,Patanjali Foods Ltd.,PATANJALI.NS,NIFTY 500
PAYTM,One 97 Communications Ltd.,PAYTM.NS,NIFTY 500
PCBL,PCBL Chemical Ltd.,PCBL.NS,NIFTY 500
PERSISTENT,Persistent Systems Ltd.,PERSISTENT.NS,NIFTY 500
PETRONET,Petronet LNG Ltd.,PETRONET.NS,NIFTY 500
PFC,Power Finance Corporation Ltd.,PFC.NS,NIFTY 500
PFIZER,Pfizer Ltd.,PFIZER.NS,NIFTY 500
PFOCUS,Prime Focus Ltd.,PFOCUS.NS,NIFTY 500
PGEL,PG Electroplast Ltd.,PGEL.NS,NIFTY 500
PHOENIXLTD,Phoenix Mills Ltd.,PHOENIXLTD.NS,NIFTY 500
PIDILITIND,Pidilite Industries Ltd.,PIDILITIND.NS,NIFTY 500
PIIND,PI Industries Ltd.,PIIND.NS,NIFTY 500
PINELABS,Pine Labs Ltd.,PINELABS.NS,NIFTY 500
PIRAMALFIN,Piramal Finance Ltd.,PIRAMALFIN.NS,NIFTY 500
PNB,Punjab National Bank,PNB.NS,NIFTY 500
PNBHOUSING,PNB Housing Finance Ltd.,PNBHOUSING.NS,NIFTY 500
POLICYBZR,PB Fintech Ltd.,POLICYBZR.NS,NIFTY 500
POLYCAB,Polycab India Ltd.,POLYCAB.NS,NIFTY 500
POLYMED,Poly Medicure Ltd.,POLYMED.NS,NIFTY 500
POONAWALLA,Poonawalla Fincorp Ltd.,POONAWALLA.NS,NIFTY 500
POWERGRID,Power Grid Corporation of India Ltd.,POWERGRID.NS,NIFTY 500
POWERINDIA,Hitachi Energy India Ltd.,POWERINDIA.NS,NIFTY 500
PPLPHARMA,Piramal Pharma Ltd.,PPLPHARMA.NS,NIFTY 500
PREMIERENE,Premier Energies Ltd.,PREMIERENE.NS,NIFTY 500
PRESTIGE,Prestige Estates Projects Ltd.,PRESTIGE.NS,NIFTY 500
PTCIL,PTC Industries Ltd.,PTCIL.NS,NIFTY 500
PVRINOX,PVR INOX Ltd.,PVRINOX.NS,NIFTY 500
PWL,Physicswallah Ltd.,PWL.NS,NIFTY 500
RADICO,Radico Khaitan Ltd,RADICO.NS,NIFTY 500
RAILTEL,Railtel Corporation Of India Ltd.,RAILTEL.NS,NIFTY 500
RAINBOW,Rainbow Childrens Medicare Ltd.,RAINBOW.NS,NIFTY 500
RAMCOCEM,The Ramco Cements Ltd.,RAMCOCEM.NS,NIFTY 500
RBLBANK,RBL Bank Ltd.,RBLBANK.NS,NIFTY 500
RECLTD,REC Ltd.,RECLTD.NS,NIFTY 500
REDINGTON,Redington Ltd.,REDINGTON.NS,NIFTY 500
RELIANCE,Reliance Industries Ltd.,RELIANCE.NS,NIFTY 500
RHIM,RHI MAGNESITA INDIA LTD.,RHIM.NS,NIFTY 500
RITES,RITES Ltd.,RITES.NS,NIFTY 500
RKFORGE,Ramkrishna Forgings Ltd.,RKFORGE.NS,NIFTY 500
RPOWER,Reliance Power Ltd.,RPOWER.NS,NIFTY 500
RRKABEL,R R Kabel Ltd.,RRKABEL.NS,NIFTY 500
RVNL,Rail Vikas Nigam Ltd.,RVNL.NS,NIFTY 500
SAGILITY,Sagility Ltd.,SAGILITY.NS,NIFTY 500
SAIL,Steel Authority of India Ltd.,SAIL.NS,NIFTY 500
SAILIFE,Sai Life Sciences Ltd.,SAILIFE.NS,NIFTY 500
SAMMAANCAP,Sammaan Capital Ltd.,SAMMAANCAP.NS,NIFTY 500
SAPPHIRE,Sapphire Foods India Ltd.,SAPPHIRE.NS,NIFTY 500
SARDAEN,Sarda Energy and Minerals Ltd.,SARDAEN.NS,NIFTY 500
SAREGAMA,Saregama India Ltd,SAREGAMA.NS,NIFTY 500
SBFC,SBFC Finance Ltd.,SBFC.NS,NIFTY 500
SBICARD,SBI Cards and Payment Services Ltd.,SBICARD.NS,NIFTY 500
SBILIFE,SBI Life Insurance Company Ltd.,SBILIFE.NS,NIFTY 500
SBIN,State Bank of India,SBIN.NS,NIFTY 500
SCHAEFFLER,Schaeffler India Ltd.,SCHAEFFLER.NS,NIFTY 500
SCHNEIDER,Schneider Electric Infrastructure Ltd.,SCHNEIDER.NS,NIFTY 500
SCI,Shipping Corporation of India Ltd.,SCI.NS,NIFTY 500
SHREECEM,Shree Cement Ltd.,SHREECEM.NS,NIFTY 500
SHRIRAMFIN,Shriram Finance Ltd.,SHRIRAMFIN.NS,NIFTY 500
SHYAMMETL,Shyam Metalics and Energy Ltd.,SHYAMMETL.NS,NIFTY 500
SIEMENS,Siemens Ltd.,SIEMENS.NS,NIFTY 500
SIGNATURE,Signatureglobal (India) Ltd.,SIGNATURE.NS,NIFTY 500
SJVN,SJVN Ltd.,SJVN.NS,NIFTY 500
SOBHA,Sobha Ltd.,SOBHA.NS,NIFTY 500
SOLARINDS,Solar Industries India Ltd.,SOLARINDS.NS,NIFTY 500
SONACOMS,Sona BLW Precision Forgings Ltd.,SONACOMS.NS,NIFTY 500
SONATSOFTW,Sonata Software Ltd.,SONATSOFTW.NS,NIFTY 500
SPLPETRO,Supreme Petrochem Ltd.,SPLPETRO.NS,NIFTY 500
SRF,SRF Ltd.,SRF.NS,NIFTY 500
STARHEALTH,Star Health and Allied Insurance Company Ltd.,STARHEALTH.NS,NIFTY 500
SUMICHEM,Sumitomo Chemical India Ltd.,SUMICHEM.NS,NIFTY 500
SUNDARMFIN,Sundaram Finance Ltd.,SUNDARMFIN.NS,NIFTY 500
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,NIFTY 500
SUNTV,Sun TV Network Ltd.,SUNTV.NS,NIFTY 500
SUPREMEIND,Supreme Industries Ltd.,SUPREMEIND.NS,NIFTY 500
SUZLON,Suzlon Energy Ltd.,SUZLON.NS,NIFTY 500
SWANCORP,Swan Corp Ltd.,SWANCORP.NS,NIFTY 500
SWIGGY,Swiggy Ltd.,SWIGGY.NS,NIFTY 500
SYNGENE,Syngene International Ltd.,SYNGENE.NS,NIFTY 500
SYRMA,Syrma SGS Technology Ltd.,SYRMA.NS,NIFTY 500
TARIL,Transformers And Rectifiers (India) Ltd.,TARIL.NS,NIFTY 500
TATACAP,Tata Capital Ltd.,TATACAP.NS,NIFTY 500
TATACHEM,Tata Chemicals Ltd.,TATACHEM.NS,NIFTY 500
TATACOMM,Tata Communications Ltd.,TATACOMM.NS,NIFTY 500
TATACONSUM,Tata Consumer Products Ltd.,TATACONSUM.NS,NIFTY 500
TATAELXSI,Tata Elxsi Ltd.,TATAELXSI.NS,NIFTY 500
TATAINVEST,Tata Investment Corporation Ltd.,TATAINVEST.NS,NIFTY 500
TATAPOWER,Tata Power Co. Ltd.,TATAPOWER.NS,NIFTY 500
TATASTEEL,Tata Steel Ltd.,TATASTEEL.NS,NIFTY 500
TATATECH,Tata Technologies Ltd.,TATATECH.NS,NIFTY 500
TBOTEK,TBO Tek Ltd.,TBOTEK.NS,NIFTY 500
TCS,Tata Consultancy Services Ltd.,TCS.NS,NIFTY 500
TECHM,Tech Mahindra Ltd.,TECHM.NS,NIFTY 500
TECHNOE,Techno Electric & Engineering Company Ltd.,TECHNOE.NS,NIFTY 500
TEGA,Tega Industries Ltd.,TEGA.NS,NIFTY 500
TEJASNET,Tejas Networks Ltd.,TEJASNET.NS,NIFTY 500
TENNIND,Tenneco Clean Air India Ltd.,TENNIND.NS,NIFTY 500
THELEELA,Leela Palaces Hotels & Resorts Ltd.,THELEELA.NS,NIFTY 500
THERMAX,Thermax Ltd.,THERMAX.NS,NIFTY 500
TIINDIA,Tube Investments of India Ltd.,TIINDIA.NS,NIFTY 500
TIMKEN,Timken India Ltd.,TIMKEN.NS,NIFTY 500
TITAGARH,Titagarh Rail Systems Ltd.,TITAGARH.NS,NIFTY 500
TITAN,Titan Company Ltd.,TITAN.NS,NIFTY 500
TMCV,Tata Motors Ltd.,TMCV.NS,NIFTY 500
TMPV,Tata Motors Passenger Vehicles Ltd.,TMPV.NS,NIFTY 500
TORNTPHARM,Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS,NIFTY 500
TORNTPOWER,Torrent Power Ltd.,TORNTPOWER.NS,NIFTY 500
TRAVELFOOD,Travel Food Services Ltd.,TRAVELFOOD.NS,NIFTY 500
TRENT,Trent Ltd.,TRENT.NS,NIFTY 500
TRIDENT,Trident Ltd.,TRIDENT.NS,NIFTY 500
TRITURBINE,Triveni Turbine Ltd.,TRITURBINE.NS,NIFTY 500
TTML,Tata Teleservices (Maharashtra) Ltd.,TTML.NS,NIFTY 500
TVSMOTOR,TVS Motor Company Ltd.,TVSMOTOR.NS,NIFTY 500
UBL,United Breweries Ltd.,UBL.NS,NIFTY 500
UCOBANK,UCO Bank,UCOBANK.NS,NIFTY 500
ULTRACEMCO,UltraTech Cement Ltd.,ULTRACEMCO.NS,NIFTY 500
UNIONBANK,Union Bank of India,UNIONBANK.NS,NIFTY 500
UNITDSPR,United Spirits Ltd.,UNITDSPR.NS,NIFTY 500
UNOMINDA,UNO Minda Ltd.,UNOMINDA.NS,NIFTY 500
UPL,UPL Ltd.,UPL.NS,NIFTY 500
URBANCO,Urban Company Ltd.,URBANCO.NS,NIFTY 500
USHAMART,Usha Martin Ltd.,USHAMART.NS,NIFTY 500
UTIAMC,UTI Asset Management Company Ltd.,UTIAMC.NS,NIFTY 500
VBL,Varun Beverages Ltd.,VBL.NS,NIFTY 500
VEDL,Vedanta Ltd.,VEDL.NS,NIFTY 500
VIJAYA,Vijaya Diagnostic Centre Ltd.,VIJAYA.NS,NIFTY 500
VMM,Vishal Mega Mart Ltd.,VMM.NS,NIFTY 500
VOLTAS,Voltas Ltd.,VOLTAS.NS,NIFTY 500
VTL,Vardhman Textiles Ltd.,VTL.NS,NIFTY 500
WAAREEENER,Waaree Energies Ltd.,WAAREEENER.NS,NIFTY 500
WELCORP,Welspun Corp Ltd.,WELCORP.NS,NIFTY 500
WELSPUNLIV,Welspun Living Ltd.,WELSPUNLIV.NS,NIFTY 500
WHIRLPOOL,Whirlpool of India Ltd.,WHIRLPOOL.NS,NIFTY 500
WIPRO,Wipro Ltd.,WIPRO.NS,NIFTY 500
WOCKPHARMA,Wockhardt Ltd.,WOCKPHARMA.NS,NIFTY 500
YESBANK,Yes Bank Ltd.,YESBANK.NS,NIFTY 500
ZEEL,Zee Entertainment Enterprises Ltd.,ZEEL.NS,NIFTY 500
ZENSARTECH,Zensar Technolgies Ltd.,ZENSARTECH.NS,NIFTY 500
ZENTEC,Zen Technologies Ltd.,ZENTEC.NS,NIFTY 500
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA.NS,NIFTY 500
ZYDUSLIFE,Zydus Lifesciences Ltd.,ZYDUSLIFE.NS,NIFTY 500
ZYDUSWELL,Zydus Wellness Ltd.,ZYDUSWELL.NS,NIFTY 500
