symbol,name,ticker,sector,source_index
GLENMARK,Glenmark Pharmaceuticals Ltd.,GLENMARK.NS,Healthcare,NIFTY 500
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,GMDCLTD.NS,Metals & Mining,NIFTY 500
GMRAIRPORT,GMR Airports Ltd.,GMRAIRPORT.NS,Services,NIFTY 500
GODFRYPHLP,Godfrey Phillips India Ltd.,GODFRYPHLP.NS,Fast Moving Consumer Goods,NIFTY 500
GODIGIT,Go Digit General Insurance Ltd.,GODIGIT.NS,Financial Services,NIFTY 500
GODREJCP,Godrej Consumer Products Ltd.,GODREJCP.NS,Fast Moving Consumer Goods,NIFTY 500
GODREJIND,Godrej Industries Ltd.,GODREJIND.NS,Diversified,NIFTY 500
GODREJPROP,Godrej Properties Ltd.,GODREJPROP.NS,Realty,NIFTY 500
GPIL,Godawari Power & Ispat Ltd.,GPIL.NS,Capital Goods,NIFTY 500
GRANULES,Granules India Ltd.,GRANULES.NS,Healthcare,NIFTY 500
GRAPHITE,Graphite India Ltd.,GRAPHITE.NS,Capital Goods,NIFTY 500
GRASIM,Grasim Industries Ltd.,GRASIM.NS,Construction Materials,NIFTY 500
GRAVITA,Gravita India Ltd.,GRAVITA.NS,Metals & Mining,NIFTY 500
GROWW,Billionbrains Garage Ventures Ltd.,GROWW.NS,Financial Services,NIFTY 500
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,GRSE.NS,Capital Goods,NIFTY 500
GVT&D,GE Vernova T&D India Ltd.,GVT&D.NS,Capital Goods,NIFTY 500
HAL,Hindustan Aeronautics Ltd.,HAL.NS,Capital Goods,NIFTY 500
HAVELLS,Havells India Ltd.,HAVELLS.NS,Consumer Durables,NIFTY 500
HBLENGINE,HBL Engineering Ltd.,HBLENGINE.NS,Capital Goods,NIFTY 500
HCLTECH,HCL Technologies Ltd.,HCLTECH.NS,Information Technology,NIFTY 500
HDBFS,HDB Financial Services Ltd.,HDBFS.NS,Financial Services,NIFTY 500
HDFCAMC,HDFC Asset Management Company Ltd.,HDFCAMC.NS,Financial Services,NIFTY 500
HDFCBANK,HDFC Bank Ltd.,HDFCBANK.NS,Financial Services,NIFTY 500
HDFCLIFE,HDFC Life Insurance Company Ltd.,HDFCLIFE.NS,Financial Services,NIFTY 500
HEG,H.E.G. Ltd.,HEG.NS,Capital Goods,NIFTY 500
HEROMOTOCO,Hero MotoCorp Ltd.,HEROMOTOCO.NS,Automobile and Auto Components,NIFTY 500
HEXT,Hexaware Technologies Ltd.,HEXT.NS,Information Technology,NIFTY 500
HFCL,HFCL Ltd.,HFCL.NS,Telecommunication,NIFTY 500
HINDALCO,Hindalco Industries Ltd.,HINDALCO.NS,Metals & Mining,NIFTY 500
HINDCOPPER,Hindustan Copper Ltd.,HINDCOPPER.NS,Metals & Mining,NIFTY 500
HINDPETRO,Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS,Oil Gas & Consumable Fuels,NIFTY 500
HINDUNILVR,Hindustan Unilever Ltd.,HINDUNILVR.NS,Fast Moving Consumer Goods,NIFTY 500
HINDZINC,Hindustan Zinc Ltd.,HINDZINC.NS,Metals & Mining,NIFTY 500
HOMEFIRST,Home First Finance Company India Ltd.,HOMEFIRST.NS,Financial Services,NIFTY 500
HONASA,Honasa Consumer Ltd.,HONASA.NS,Fast Moving Consumer Goods,NIFTY 500
HONAUT,Honeywell Automation India Ltd.,HONAUT.NS,Capital Goods,NIFTY 500
HSCL,Himadri Speciality Chemical Ltd.,HSCL.NS,Chemicals,NIFTY 500
HUDCO,Housing & Urban Development Corporation Ltd.,HUDCO.NS,Financial Services,NIFTY 500
HYUNDAI,Hyundai Motor India Ltd.,HYUNDAI.NS,Automobile and Auto Components,NIFTY 500
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,ICICIAMC.NS,Financial Services,NIFTY 500
ICICIBANK,ICICI Bank Ltd.,ICICIBANK.NS,Financial Services,NIFTY 500
ICICIGI,ICICI Lombard General Insurance Company Ltd.,ICICIGI.NS,Financial Services,NIFTY 500
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS,Financial Services,NIFTY 500
IDBI,IDBI Bank Ltd.,IDBI.NS,Financial Services,NIFTY 500
IDEA,Vodafone Idea Ltd.,IDEA.NS,Telecommunication,NIFTY 500
IDFCFIRSTB,IDFC First Bank Ltd.,IDFCFIRSTB.NS,Financial Services,NIFTY 500
IEX,Indian Energy Exchange Ltd.,IEX.NS,Financial Services,NIFTY 500
