symbol,name,ticker,sector,downloaded,download_note,source_index,benchmark_ticker,last_date,last,return_1d_pct,return_5d_pct,return_20d_pct,volume,avg_volume_20,volume_ratio_20d,turnover_proxy,rsi_14,rsi_5d_ago,above_sma_10,above_sma_20,above_sma_50,above_sma_100,above_sma_200,distance_sma_20_pct,distance_sma_50_pct,ma200_roc20_pct,supertrend_bullish,new_high20,within_3pct_ath,at_ath,rs_acceleration_pct,rs_ratio,rs_ratio_sma_50,rs_distance_sma_50_pct,rs_return_20d_pct,rs_above_50dma,trend_raw,breakout_raw,volume_raw,setup_score,setup_quality,primary_setup,setup_tags,setup_pivot_level,setup_breakout_date,setup_volume_ratio,setup_retest_gap_pct,setup_flag_depth_pct,setup_impulse_return_pct,setup_neckline_level,setup_commentary,rotation_signal,rotation_score
SYRMA,Syrma SGS Technology Ltd.,SYRMA.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,1439.3,-0.3,-1.67,11.84,603250.0,1733016.0,0.35,868257754.46,52.72,59.21,False,True,True,True,True,0.97,3.08,6.67,False,False,False,False,18.69,0.06116794,0.05975221,2.37,8.9,True,1.0,0.0,0.35,4.7,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",1462.5,2026-08-10,2.8,0.93,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
HEG,H.E.G. Ltd.,HEG.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,710.75,-0.17,1.39,10.51,927007.0,1863327.0,0.5,658870225.25,65.28,72.38,True,True,True,True,True,3.95,17.74,2.75,False,False,False,False,-17.84,0.03020573,0.0258841,16.7,7.61,True,1.0,0.0,0.5,4.6,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",687.97,2026-08-14,1.41,3.04,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: High-tight flag, Possible inverse H&S.",Strengthening,7.1
AARTIIND,Aarti Industries Ltd.,AARTIIND.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-08-21,527.2,1.37,-1.29,10.34,995748.0,1794835.0,0.55,524958357.76,61.66,68.87,True,True,True,True,True,4.24,7.29,2.99,False,False,True,False,4.03,0.02240515,0.02105868,6.39,7.45,True,1.0,0.5,0.55,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",508.52,2026-08-12,3.64,3.32,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
ELGIEQUIP,Elgi Equipments Ltd.,ELGIEQUIP.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,634.35,0.3,4.08,9.88,702061.0,742854.0,0.95,445352378.21,65.71,62.14,True,True,True,True,True,6.97,7.16,2.19,False,False,True,False,10.14,0.02695886,0.0254023,6.13,7.0,True,1.0,0.5,0.95,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",623.94,2026-08-19,2.78,0.01,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
NAVINFLUOR,Navin Fluorine International Ltd.,NAVINFLUOR.NS,Chemicals,True,,NIFTY 500,^CRSLDX,2026-08-21,8206.5,-0.6,-0.35,9.13,135441.0,352553.0,0.38,1111496566.5,56.97,58.98,False,True,True,True,True,2.66,5.92,4.73,False,False,False,False,6.57,0.34876307,0.33211047,5.01,6.27,True,1.0,0.0,0.38,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",7873.0,2026-08-06,30.67,3.52,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
ZENTEC,Zen Technologies Ltd.,ZENTEC.NS,Capital Goods,True,,NIFTY 500,^CRSLDX,2026-08-21,1926.3,0.95,3.78,8.97,579988.0,621980.0,0.93,1117230912.72,63.46,62.75,True,True,True,True,True,9.03,6.96,2.55,False,False,False,False,5.38,0.08186466,0.07731198,5.89,6.11,True,1.0,0.0,0.93,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, flag, continuation, uptrend, inverse-head-and-shoulders, base, reversal",1877.73,2026-08-18,6.16,1.24,,,,"Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Bullish flag, Possible inverse H&S.",Strengthening,7.1
LODHA,Lodha Developers Ltd.,LODHA.NS,Realty,True,,NIFTY 500,^CRSLDX,2026-08-21,1242.0,0.16,-0.15,8.94,1491660.0,2377273.0,0.63,1852641720.0,58.63,61.35,True,True,True,True,True,0.45,10.31,0.66,False,False,False,False,-15.73,0.05278301,0.04823062,9.44,6.08,True,1.0,0.0,0.63,4.66,Actionable watch,High-tight flag,"flag, continuation, uptrend, high-tight, inverse-head-and-shoulders, base, reversal",1311.74,2026-07-29,0.47,,10.7,52.71,,Price has made a sharp impulse move and is now consolidating near the highs. A controlled pullback with quieter volume keeps the continuation setup alive. Secondary patterns: Possible inverse H&S.,Strengthening,7.1
KOTAKBANK,Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-21,402.8,1.37,2.98,4.69,15670257.0,9858527.0,1.59,6311979328.31,62.21,51.15,True,True,True,True,True,2.61,2.85,-0.94,False,True,False,False,6.89,0.01711835,0.01680089,1.89,1.95,True,0.3333333333333333,0.5,1.59,4.7,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",392.26,2026-08-21,1.61,1.96,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening with volume,7.09
ASAHIINDIA,Asahi India Glass Ltd.,ASAHIINDIA.NS,Automobile and Auto Components,True,,NIFTY 500,^CRSLDX,2026-08-21,965.75,1.49,2.83,8.72,229007.0,250134.0,0.92,221163510.25,65.48,62.96,True,True,True,True,True,6.05,8.09,-0.1,False,True,False,False,6.18,0.04104282,0.03832153,7.1,5.87,True,0.3333333333333333,0.5,0.92,5.1,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",939.05,2026-08-18,3.8,1.59,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.07
NAM-INDIA,Nippon Life India Asset Management Ltd.,NAM-INDIA.NS,Financial Services,True,,NIFTY 500,^CRSLDX,2026-08-21,1251.0,1.5,7.12,12.45,1545229.0,1073873.0,1.44,1933081479.0,63.26,49.56,True,True,True,True,True,5.64,6.41,3.24,False,True,True,True,10.97,0.05316549,0.05038766,5.51,9.5,True,1.0,1.0,1.44,3.85,Actionable watch,Breakout retest,"breakout, retest, pivot, volume, inverse-head-and-shoulders, base, reversal",1218.83,2026-08-21,1.49,1.97,,,,Prior resistance has been cleared on higher volume and price is back near that pivot. This is the kind of retest zone where follow-through can matter more than chasing a stretched candle. Secondary patterns: Possible inverse H&S.,Strengthening,7.05
