symbol,company,ticker,last_date,last_price,open,day_high,day_low,previous_close,change_pct,year_high,year_low,distance_from_52w_high_pct,fresh_52w_high,within_3pct_52w_high,volume,traded_value,source
AIAENG,AIA Engineering Ltd.,AIAENG.NS,2026-09-21,3940.0,,4023.8,3930.3,3973.3,-0.84,5180.0,3034.0,-23.94,False,False,10556,,Nifty Indices constituents + Yahoo history
IRB,IRB Infrastructure Developers Ltd.,IRB.NS,2026-09-21,18.21,,18.56,18.14,18.48,-1.46,23.95,18.14,-23.97,False,False,7501883,,Nifty Indices constituents + Yahoo history
ONGC,Oil & Natural Gas Corporation Ltd.,ONGC.NS,2026-09-21,233.68,,233.86,232.32,232.8,0.38,307.5,227.65,-24.01,False,False,1542557,,Nifty Indices constituents + Yahoo history
CANBK,Canara Bank,CANBK.NS,2026-09-21,123.65,,123.83,122.95,123.78,-0.11,162.89,116.93,-24.09,False,False,2963155,,Nifty Indices constituents + Yahoo history
NAVA,Nava Ltd.,NAVA.NS,2026-09-21,560.05,,566.9,557.15,562.3,-0.4,739.4,501.65,-24.26,False,False,59610,,Nifty Indices constituents + Yahoo history
FACT,Fertilisers and Chemicals Travancore Ltd.,FACT.NS,2026-09-21,800.05,,822.35,764.5,764.2,4.69,1058.6,652.1,-24.42,False,False,905864,,Nifty Indices constituents + Yahoo history
SUMICHEM,Sumitomo Chemical India Ltd.,SUMICHEM.NS,2026-09-21,456.7,,461.4,451.0,460.85,-0.9,605.0,362.6,-24.51,False,False,161932,,Nifty Indices constituents + Yahoo history
ASHOKLEY,Ashok Leyland Ltd.,ASHOKLEY.NS,2026-09-21,161.52,,163.19,160.87,163.0,-0.91,215.42,134.21,-25.02,False,False,3586397,,Nifty Indices constituents + Yahoo history
JBMA,JBM Auto Ltd.,JBMA.NS,2026-09-21,592.1,,603.25,592.0,599.1,-1.17,790.0,477.0,-25.05,False,False,76644,,Nifty Indices constituents + Yahoo history
ERIS,Eris Lifesciences Ltd.,ERIS.NS,2026-09-21,1302.9,,1330.9,1302.9,1321.3,-1.39,1740.0,1200.0,-25.12,False,False,8445,,Nifty Indices constituents + Yahoo history
SAMMAANCAP,Sammaan Capital Ltd.,SAMMAANCAP.NS,2026-09-21,144.32,,144.69,142.82,143.92,0.28,192.95,129.0,-25.2,False,False,1126441,,Nifty Indices constituents + Yahoo history
HYUNDAI,Hyundai Motor India Ltd.,HYUNDAI.NS,2026-09-21,2159.5,,2178.0,2153.0,2208.8,-2.23,2890.0,1658.0,-25.28,False,False,100059,,Nifty Indices constituents + Yahoo history
KFINTECH,Kfin Technologies Ltd.,KFINTECH.NS,2026-09-21,904.2,,917.85,903.15,930.0,-2.77,1215.0,784.95,-25.58,False,False,198873,,Nifty Indices constituents + Yahoo history
SAPPHIRE,Sapphire Foods India Ltd.,SAPPHIRE.NS,2026-09-21,237.25,,241.9,228.37,230.11,3.1,318.85,139.91,-25.59,False,False,1316695,,Nifty Indices constituents + Yahoo history
RITES,RITES Ltd.,RITES.NS,2026-09-21,202.69,,208.34,202.0,207.23,-2.19,272.51,175.0,-25.62,False,False,229909,,Nifty Indices constituents + Yahoo history
TRIDENT,Trident Ltd.,TRIDENT.NS,2026-09-21,23.0,,23.29,22.96,23.22,-0.95,30.94,21.98,-25.66,False,False,1524755,,Nifty Indices constituents + Yahoo history
SBFC,SBFC Finance Ltd.,SBFC.NS,2026-09-21,91.44,,92.64,91.19,92.36,-1.0,123.0,79.6,-25.66,False,False,220577,,Nifty Indices constituents + Yahoo history
SHREECEM,Shree Cement Ltd.,SHREECEM.NS,2026-09-21,22485.0,,22700.0,22355.0,22600.0,-0.51,30285.0,21665.0,-25.76,False,False,7408,,Nifty Indices constituents + Yahoo history
ATGL,Adani Total Gas Ltd.,ATGL.NS,2026-09-21,638.15,,659.05,629.15,660.7,-3.41,859.85,462.8,-25.78,False,False,2404193,,Nifty Indices constituents + Yahoo history
NTPCGREEN,NTPC Green Energy Ltd.,NTPCGREEN.NS,2026-09-21,88.91,,88.92,88.07,88.55,0.41,119.95,84.0,-25.88,False,False,429549,,Nifty Indices constituents + Yahoo history
EIHOTEL,EIH Ltd.,EIHOTEL.NS,2026-09-21,306.6,,317.45,306.3,317.9,-3.55,413.95,271.15,-25.93,False,False,126053,,Nifty Indices constituents + Yahoo history
GPIL,Godawari Power & Ispat Ltd.,GPIL.NS,2026-09-21,235.57,,238.0,232.6,233.47,0.9,320.0,221.21,-26.38,False,False,553163,,Nifty Indices constituents + Yahoo history
AAVAS,Aavas Financiers Ltd.,AAVAS.NS,2026-09-21,1302.2,,1309.9,1285.0,1284.6,1.37,1771.9,1060.4,-26.51,False,False,19330,,Nifty Indices constituents + Yahoo history
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS,2026-09-21,2249.8,,2278.0,2245.3,2280.0,-1.32,3061.4,2057.4,-26.51,False,False,275491,,Nifty Indices constituents + Yahoo history
